name,state,pop_90,pop_10,lat,lon
Minneapolis,MN,368383,382578,44.963323,-93.268284
St. Paul,MN,272235,285068,44.948869,-93.103855
Rochester,MN,70745,106769,44.015442,-92.47721
Duluth,MN,85493,86265,46.783229,-92.11871
Bloomington,MN,86335,82893,44.829666,-93.315217
Brooklyn Park,MN,56381,75781,45.110906,-93.349088
Plymouth,MN,50889,70576,45.022045,-93.462576
St. Cloud,MN,48812,65842,45.526681,-94.171056
Eagan,MN,0,64206,44.8155,-93.1624
Woodbury,MN,0,61961,44.906283,-92.923703
Burnsville,MN,51288,0,44.764409,-93.279372
Coon Rapids,MN,52978,0,45.176411,-93.311454
